material,materialid,maintenance
Städning,0,2022-10-31T06:05:53
Metallförpackningar,3,2022-09-28T08:20:24
Pappersförpackningar,5,2022-10-31T10:08:05
Tidningar,13,2022-10-10T10:03:14
Plastförpackningar,16,2022-11-01T09:55:51
Ofärgade glasförpackningar,18,2022-09-13T09:14:59
Färgade glasförpackningar,19,2022-09-13T09:14:59
Städning,0,2022-11-02T05:57:58
Ofärgade glasförpackningar,18,2022-11-02T07:29:25
Färgade glasförpackningar,19,2022-11-02T07:29:25
Pappersförpackningar,5,2022-11-03T07:55:46
Städning,0,2022-11-04T06:32:27
Pappersförpackningar,5,2022-11-05T06:31:11
Städning,0,2022-11-07T05:28:12
Pappersförpackningar,5,2022-11-07T12:50:43
Plastförpackningar,16,2022-11-08T12:40:02
Städning,0,2022-11-09T07:59:47
Pappersförpackningar,5,2022-11-10T07:48:14
Städning,0,2022-11-11T05:35:22
Städning,0,2022-11-14T06:09:48
Pappersförpackningar,5,2022-11-14T10:59:56
Plastförpackningar,16,2022-11-15T11:28:15
Städning,0,2022-11-16T08:20:46
Pappersförpackningar,5,2022-11-17T07:51:34
Städning,0,2022-11-18T05:52:01
Städning,0,2022-11-21T17:18:34
Pappersförpackningar,5,2022-11-21T13:10:57
Tidningar,13,2022-11-21T11:04:54
Städning,0,2022-11-23T07:50:48
Metallförpackningar,3,2022-11-23T08:20:56
Plastförpackningar,16,2022-11-22T12:38:27
Pappersförpackningar,5,2022-11-24T08:00:52
Städning,0,2022-11-25T06:27:43
Pappersförpackningar,5,2022-11-26T06:27:05
Städning,0,2022-11-28T06:25:40
Pappersförpackningar,5,2022-11-28T14:11:11
Plastförpackningar,16,2022-11-29T11:56:37
Ofärgade glasförpackningar,18,2022-11-29T10:45:23
Färgade glasförpackningar,19,2022-11-29T10:45:23
