material,materialid,maintenance
Städning,0,2022-10-31T09:51:30
Metallförpackningar,3,2022-10-25T15:23:05
Pappersförpackningar,5,2022-11-01T06:26:47
Tidningar,13,2022-10-31T08:35:29
Plastförpackningar,16,2022-10-29T08:23:48
Ofärgade glasförpackningar,18,2022-10-12T08:00:37
Färgade glasförpackningar,19,2022-10-12T08:00:37
Städning,0,2022-11-02T09:43:42
Pappersförpackningar,5,2022-11-02T10:16:30
Plastförpackningar,16,2022-11-02T14:27:29
Pappersförpackningar,5,2022-11-03T09:47:37
Städning,0,2022-11-04T08:55:56
Pappersförpackningar,5,2022-11-04T10:05:10
Pappersförpackningar,5,2022-11-05T08:34:08
Plastförpackningar,16,2022-11-05T09:11:16
Pappersförpackningar,5,2022-11-06T07:31:15
Städning,0,2022-11-07T09:44:16
Pappersförpackningar,5,2022-11-07T09:12:44
Metallförpackningar,3,2022-11-08T08:16:43
Pappersförpackningar,5,2022-11-08T07:17:05
Städning,0,2022-11-09T09:42:21
Pappersförpackningar,5,2022-11-09T10:28:16
Plastförpackningar,16,2022-11-09T10:17:17
Ofärgade glasförpackningar,18,2022-11-09T08:40:59
Färgade glasförpackningar,19,2022-11-09T08:40:59
Pappersförpackningar,5,2022-11-10T09:55:27
Städning,0,2022-11-11T10:00:46
Pappersförpackningar,5,2022-11-11T09:12:07
Pappersförpackningar,5,2022-11-12T07:39:58
Plastförpackningar,16,2022-11-12T08:40:29
Pappersförpackningar,5,2022-11-13T07:37:17
Städning,0,2022-11-14T10:22:57
Pappersförpackningar,5,2022-11-14T08:41:16
Tidningar,13,2022-11-14T09:13:47
Plastförpackningar,16,2022-11-14T16:57:17
Pappersförpackningar,5,2022-11-15T11:38:45
Städning,0,2022-11-16T09:54:07
Plastförpackningar,16,2022-11-16T14:55:11
Pappersförpackningar,5,2022-11-17T10:22:37
Städning,0,2022-11-18T10:56:25
Pappersförpackningar,5,2022-11-18T08:19:26
Pappersförpackningar,5,2022-11-19T08:10:01
Plastförpackningar,16,2022-11-19T08:27:53
Pappersförpackningar,5,2022-11-20T07:55:50
Städning,0,2022-11-21T11:12:58
Pappersförpackningar,5,2022-11-21T10:23:27
Städning,0,2022-11-23T08:09:18
Metallförpackningar,3,2022-11-22T08:39:05
Pappersförpackningar,5,2022-11-22T10:24:51
Plastförpackningar,16,2022-11-23T14:48:55
Ofärgade glasförpackningar,18,2022-11-23T08:21:35
Färgade glasförpackningar,19,2022-11-23T08:21:35
Pappersförpackningar,5,2022-11-24T07:25:20
Städning,0,2022-11-25T10:35:56
Pappersförpackningar,5,2022-11-25T11:07:38
Pappersförpackningar,5,2022-11-26T08:03:59
Pappersförpackningar,5,2022-11-27T16:03:57
Städning,0,2022-11-28T10:03:41
Pappersförpackningar,5,2022-11-28T08:56:00
Tidningar,13,2022-11-28T09:40:58
Plastförpackningar,16,2022-11-28T14:39:12
Pappersförpackningar,5,2022-11-29T10:47:12
Städning,0,2022-12-12T10:48:29
Metallförpackningar,3,2022-12-06T08:55:11
Pappersförpackningar,5,2022-12-13T09:49:40
Tidningar,13,2022-12-12T08:53:16
Plastförpackningar,16,2022-12-12T15:50:19
Städning,0,2023-01-02T08:57:28
Metallförpackningar,3,2022-12-20T14:23:34
Pappersförpackningar,5,2023-01-03T10:06:18
Tidningar,13,2022-12-28T09:09:23
Plastförpackningar,16,2023-01-02T18:39:16
Städning,0,2023-01-13T10:22:31
Metallförpackningar,3,2023-01-04T08:45:25
Pappersförpackningar,5,2023-01-14T08:25:50
Tidningar,13,2023-01-09T08:31:39
Plastförpackningar,16,2023-01-14T08:54:43
Pappersförpackningar,5,2023-01-15T07:33:33
Städning,0,2023-01-16T10:58:40
Metallförpackningar,3,2023-01-16T11:38:32
Pappersförpackningar,5,2023-01-16T09:05:44
Plastförpackningar,16,2023-01-16T16:50:50
Pappersförpackningar,5,2023-01-17T11:25:44
Städning,0,2023-01-18T08:43:15
Pappersförpackningar,5,2023-01-18T09:30:25
Plastförpackningar,16,2023-01-18T15:00:10
Städning,0,2023-01-20T08:20:33
Pappersförpackningar,5,2023-01-20T14:03:10
Pappersförpackningar,5,2023-01-21T07:49:37
Plastförpackningar,16,2023-01-21T09:02:08
Pappersförpackningar,5,2023-01-22T08:04:04
Städning,0,2023-01-23T09:13:54
Pappersförpackningar,5,2023-01-23T08:51:25
Plastförpackningar,16,2023-01-23T16:36:01
Pappersförpackningar,5,2023-01-24T06:42:14
Städning,0,2023-01-25T09:59:35
Pappersförpackningar,5,2023-01-25T10:21:45
Pappersförpackningar,5,2023-01-26T09:52:48
Tidningar,13,2023-01-23T13:29:38
Städning,0,2023-01-27T10:49:46
Pappersförpackningar,5,2023-01-27T10:11:47
Pappersförpackningar,5,2023-01-28T08:12:39
Plastförpackningar,16,2023-01-28T09:53:32
Pappersförpackningar,5,2023-01-29T07:41:46
