material,materialid,maintenance
Städning,0,2022-10-31T11:48:25
Metallförpackningar,3,2022-11-01T14:08:17
Pappersförpackningar,5,2022-11-01T13:10:12
Tidningar,13,2022-10-31T12:14:09
Plastförpackningar,16,2022-11-01T12:01:54
Ofärgade glasförpackningar,18,2022-10-31T10:01:53
Färgade glasförpackningar,19,2022-10-31T10:01:53
Städning,0,2022-11-02T09:40:03
Pappersförpackningar,5,2022-11-02T14:30:50
Pappersförpackningar,5,2022-11-03T14:39:46
Tidningar,13,2022-11-03T11:13:02
Plastförpackningar,16,2022-11-03T10:53:13
Städning,0,2022-11-04T10:08:46
Pappersförpackningar,5,2022-11-04T14:02:39
Pappersförpackningar,5,2022-11-05T13:36:59
Plastförpackningar,16,2022-11-05T14:02:50
Pappersförpackningar,5,2022-11-06T12:50:17
Plastförpackningar,16,2022-11-06T14:43:32
Ofärgade glasförpackningar,18,2022-11-06T16:06:47
Färgade glasförpackningar,19,2022-11-06T16:06:47
Städning,0,2022-11-07T08:24:29
Pappersförpackningar,5,2022-11-07T13:17:22
Tidningar,13,2022-11-07T12:31:30
Pappersförpackningar,5,2022-11-08T12:03:22
Plastförpackningar,16,2022-11-08T12:53:06
Städning,0,2022-11-09T08:26:43
Pappersförpackningar,5,2022-11-09T15:16:46
Pappersförpackningar,5,2022-11-10T13:16:11
Tidningar,13,2022-11-10T11:35:03
Plastförpackningar,16,2022-11-10T10:57:05
Städning,0,2022-11-11T10:47:47
Pappersförpackningar,5,2022-11-11T14:27:00
Pappersförpackningar,5,2022-11-12T14:52:48
Plastförpackningar,16,2022-11-12T12:54:43
Pappersförpackningar,5,2022-11-13T14:08:32
Plastförpackningar,16,2022-11-13T14:06:09
Städning,0,2022-11-14T08:54:13
Pappersförpackningar,5,2022-11-14T15:06:31
Tidningar,13,2022-11-14T11:43:54
Ofärgade glasförpackningar,18,2022-11-14T07:11:09
Färgade glasförpackningar,19,2022-11-14T07:11:09
Pappersförpackningar,5,2022-11-15T12:26:46
Plastförpackningar,16,2022-11-15T13:28:39
Städning,0,2022-11-16T08:21:05
Pappersförpackningar,5,2022-11-16T13:50:58
Pappersförpackningar,5,2022-11-17T12:12:06
Tidningar,13,2022-11-17T11:24:01
Plastförpackningar,16,2022-11-17T10:41:52
Städning,0,2022-11-18T10:23:47
Pappersförpackningar,5,2022-11-18T14:27:56
Pappersförpackningar,5,2022-11-19T12:57:41
Plastförpackningar,16,2022-11-19T13:06:02
Pappersförpackningar,5,2022-11-20T12:22:53
Plastförpackningar,16,2022-11-20T16:52:15
Städning,0,2022-11-21T09:47:31
Pappersförpackningar,5,2022-11-21T15:22:56
Städning,0,2022-11-23T08:45:34
Pappersförpackningar,5,2022-11-23T14:01:46
Tidningar,13,2022-11-23T12:41:01
Plastförpackningar,16,2022-11-22T12:18:23
Ofärgade glasförpackningar,18,2022-11-22T08:55:20
Färgade glasförpackningar,19,2022-11-22T08:55:20
Metallförpackningar,3,2022-11-24T13:55:52
Pappersförpackningar,5,2022-11-24T16:12:50
Plastförpackningar,16,2022-11-24T11:18:03
Städning,0,2022-11-25T10:58:10
Pappersförpackningar,5,2022-11-25T14:58:24
Pappersförpackningar,5,2022-11-26T12:38:45
Plastförpackningar,16,2022-11-26T12:22:20
Pappersförpackningar,5,2022-11-27T11:38:32
Plastförpackningar,16,2022-11-27T12:54:14
Ofärgade glasförpackningar,18,2022-11-27T11:00:21
Färgade glasförpackningar,19,2022-11-27T11:00:21
Städning,0,2022-11-28T09:00:14
Pappersförpackningar,5,2022-11-28T15:04:04
Tidningar,13,2022-11-28T12:17:07
Pappersförpackningar,5,2022-11-29T15:55:10
Plastförpackningar,16,2022-11-29T12:10:04
Städning,0,2022-12-12T09:02:20
Pappersförpackningar,5,2022-12-13T12:31:23
Tidningar,13,2022-12-11T11:40:34
Plastförpackningar,16,2022-12-13T13:40:25
Ofärgade glasförpackningar,18,2022-12-09T07:53:30
Färgade glasförpackningar,19,2022-12-09T07:53:30
Städning,0,2023-01-02T08:37:42
Metallförpackningar,3,2022-12-16T11:14:24
Pappersförpackningar,5,2023-01-03T15:05:21
Tidningar,13,2023-01-02T13:01:52
Plastförpackningar,16,2023-01-03T13:52:56
Ofärgade glasförpackningar,18,2022-12-30T07:58:54
