material,materialid,maintenance
Städning,0,2022-11-01T10:22:32
Metallförpackningar,3,2022-10-31T16:58:08
Pappersförpackningar,5,2022-10-31T15:21:51
Tidningar,13,2022-10-31T14:06:05
Plastförpackningar,16,2022-11-01T13:02:17
Ofärgade glasförpackningar,18,2022-10-28T10:46:22
Färgade glasförpackningar,19,2022-10-28T10:46:22
Städning,0,2022-11-02T07:38:39
Pappersförpackningar,5,2022-11-02T12:37:48
Städning,0,2022-11-03T08:16:59
Städning,0,2022-11-04T08:34:56
Pappersförpackningar,5,2022-11-04T14:21:10
Tidningar,13,2022-11-04T13:54:19
Pappersförpackningar,5,2022-11-05T18:23:57
Plastförpackningar,16,2022-11-05T14:32:02
Städning,0,2022-11-06T07:56:05
Pappersförpackningar,5,2022-11-06T11:32:54
Städning,0,2022-11-07T13:19:30
Pappersförpackningar,5,2022-11-07T14:59:04
Städning,0,2022-11-08T09:52:39
Plastförpackningar,16,2022-11-08T14:34:21
Ofärgade glasförpackningar,18,2022-11-08T08:25:28
Färgade glasförpackningar,19,2022-11-08T08:25:28
Städning,0,2022-11-09T11:25:41
Metallförpackningar,3,2022-11-09T18:31:47
Pappersförpackningar,5,2022-11-09T11:52:28
Städning,0,2022-11-10T09:29:10
Städning,0,2022-11-11T07:52:11
Pappersförpackningar,5,2022-11-11T13:57:26
Tidningar,13,2022-11-11T09:42:32
Pappersförpackningar,5,2022-11-12T20:50:40
Plastförpackningar,16,2022-11-12T15:48:50
Städning,0,2022-11-13T08:03:07
Pappersförpackningar,5,2022-11-13T09:45:55
Städning,0,2022-11-14T11:58:41
Pappersförpackningar,5,2022-11-14T13:41:31
Städning,0,2022-11-15T10:16:35
Plastförpackningar,16,2022-11-15T14:34:51
Städning,0,2022-11-16T10:15:31
Pappersförpackningar,5,2022-11-16T14:21:56
Städning,0,2022-11-17T09:22:43
Metallförpackningar,3,2022-11-17T16:30:28
Pappersförpackningar,5,2022-11-17T12:28:36
Städning,0,2022-11-18T08:51:06
Pappersförpackningar,5,2022-11-18T13:07:27
Tidningar,13,2022-11-18T09:17:09
Ofärgade glasförpackningar,18,2022-11-18T09:10:06
Färgade glasförpackningar,19,2022-11-18T09:10:06
Pappersförpackningar,5,2022-11-19T17:25:56
Plastförpackningar,16,2022-11-19T16:17:43
Städning,0,2022-11-20T08:06:31
Pappersförpackningar,5,2022-11-20T09:52:15
Städning,0,2022-11-21T13:53:06
Städning,0,2022-11-23T11:34:54
Pappersförpackningar,5,2022-11-23T13:15:50
Tidningar,13,2022-11-22T11:17:54
Plastförpackningar,16,2022-11-23T10:41:24
Städning,0,2022-11-24T09:43:08
Städning,0,2022-11-25T08:56:42
Metallförpackningar,3,2022-11-25T17:41:27
Pappersförpackningar,5,2022-11-25T16:34:52
Tidningar,13,2022-11-25T09:26:39
Plastförpackningar,16,2022-11-26T15:58:37
Städning,0,2022-11-27T08:03:27
Pappersförpackningar,5,2022-11-27T16:39:40
Städning,0,2022-11-28T13:24:04
Pappersförpackningar,5,2022-11-28T14:52:44
Städning,0,2022-11-29T10:24:44
Metallförpackningar,3,2022-11-29T18:54:03
Plastförpackningar,16,2022-11-29T15:29:13
