material,materialid,maintenance
Städning,0,2022-10-31T09:17:47
Metallförpackningar,3,2022-10-27T12:37:33
Pappersförpackningar,5,2022-10-31T09:56:29
Tidningar,13,2022-05-05T09:21:41
Plastförpackningar,16,2022-10-31T09:56:29
Ofärgade glasförpackningar,18,2022-10-26T11:17:00
Färgade glasförpackningar,19,2022-10-26T11:17:00
Städning,0,2022-11-02T13:17:59
Pappersförpackningar,5,2022-11-02T08:13:50
Städning,0,2022-11-04T11:25:26
Pappersförpackningar,5,2022-11-04T08:01:28
Plastförpackningar,16,2022-11-04T08:01:28
Städning,0,2022-11-07T11:01:41
Pappersförpackningar,5,2022-11-07T09:17:16
Plastförpackningar,16,2022-11-07T09:17:16
Städning,0,2022-11-09T12:26:08
Pappersförpackningar,5,2022-11-09T08:10:27
Ofärgade glasförpackningar,18,2022-11-09T10:48:21
Färgade glasförpackningar,19,2022-11-09T10:48:21
Städning,0,2022-11-11T10:49:41
Pappersförpackningar,5,2022-11-11T09:16:13
Plastförpackningar,16,2022-11-11T09:16:13
Städning,0,2022-11-14T09:32:18
Pappersförpackningar,5,2022-11-14T08:58:16
Plastförpackningar,16,2022-11-14T08:58:16
Städning,0,2022-11-16T12:33:17
Pappersförpackningar,5,2022-11-16T08:06:22
Städning,0,2022-11-18T10:54:58
Pappersförpackningar,5,2022-11-18T07:16:43
Plastförpackningar,16,2022-11-18T07:16:43
Pappersförpackningar,5,2022-11-21T09:16:25
Plastförpackningar,16,2022-11-21T09:16:25
Ofärgade glasförpackningar,18,2022-11-21T13:55:09
Färgade glasförpackningar,19,2022-11-21T13:55:09
Städning,0,2022-11-22T10:04:42
Pappersförpackningar,5,2022-11-23T08:37:06
Städning,0,2022-11-24T10:18:24
Städning,0,2022-11-25T10:58:38
Pappersförpackningar,5,2022-11-25T09:04:08
Plastförpackningar,16,2022-11-25T09:04:08
Städning,0,2022-11-28T09:51:32
Pappersförpackningar,5,2022-11-28T09:26:06
Plastförpackningar,16,2022-11-28T09:26:06
Städning,0,2022-12-12T10:35:14
Pappersförpackningar,5,2022-12-12T09:11:24
Plastförpackningar,16,2022-12-12T09:11:24
Ofärgade glasförpackningar,18,2022-12-07T11:01:02
Färgade glasförpackningar,19,2022-12-07T11:01:02
Städning,0,2023-01-02T09:36:03
Metallförpackningar,3,2022-12-20T12:16:12
Pappersförpackningar,5,2023-01-02T09:44:58
Plastförpackningar,16,2023-01-02T09:44:58
Ofärgade glasförpackningar,18,2023-01-03T09:14:23
Färgade glasförpackningar,19,2023-01-03T09:14:23
Städning,0,2023-01-13T10:08:04
Pappersförpackningar,5,2023-01-13T06:27:56
Plastförpackningar,16,2023-01-13T06:27:56
Städning,0,2023-01-16T09:30:50
Pappersförpackningar,5,2023-01-16T09:09:44
Plastförpackningar,16,2023-01-16T09:09:44
Städning,0,2023-01-18T12:27:21
Pappersförpackningar,5,2023-01-18T08:31:16
Ofärgade glasförpackningar,18,2023-01-18T08:26:39
Färgade glasförpackningar,19,2023-01-18T08:26:39
Städning,0,2023-01-20T08:25:30
Pappersförpackningar,5,2023-01-20T08:59:16
Städning,0,2023-01-23T09:29:56
Städning,0,2023-01-25T13:40:50
Pappersförpackningar,5,2023-01-25T08:59:00
Plastförpackningar,16,2023-01-23T09:44:26
Städning,0,2023-01-27T11:02:36
Pappersförpackningar,5,2023-01-27T18:54:49
Plastförpackningar,16,2023-01-27T18:54:49
Städning,0,2023-01-30T10:46:57
Pappersförpackningar,5,2023-01-30T08:48:02
Plastförpackningar,16,2023-01-30T08:48:02
Ofärgade glasförpackningar,18,2023-01-31T13:03:28
Färgade glasförpackningar,19,2023-01-31T13:03:28
Städning,0,2023-02-01T12:42:08
Pappersförpackningar,5,2023-02-01T08:29:12
Städning,0,2023-02-03T10:33:02
Pappersförpackningar,5,2023-02-03T08:43:29
Plastförpackningar,16,2023-02-03T08:43:29
Städning,0,2023-02-06T10:59:38
Pappersförpackningar,5,2023-02-06T09:20:32
Plastförpackningar,16,2023-02-06T09:20:32
Städning,0,2023-02-08T13:31:15
Pappersförpackningar,5,2023-02-08T08:50:06
Städning,0,2023-02-10T10:34:38
Pappersförpackningar,5,2023-02-10T08:42:37
Plastförpackningar,16,2023-02-10T08:42:37
Städning,0,2023-02-13T09:15:39
Pappersförpackningar,5,2023-02-13T09:50:46
Plastförpackningar,16,2023-02-13T09:50:46
Ofärgade glasförpackningar,18,2023-02-14T11:05:34
Färgade glasförpackningar,19,2023-02-14T11:05:34
Städning,0,2023-02-15T12:13:05
Metallförpackningar,3,2023-02-15T10:46:46
Pappersförpackningar,5,2023-02-15T08:07:51
Städning,0,2023-02-17T11:12:55
Pappersförpackningar,5,2023-02-17T08:42:59
Plastförpackningar,16,2023-02-17T08:42:59
Städning,0,2023-02-20T09:38:54
Pappersförpackningar,5,2023-02-20T08:57:57
Plastförpackningar,16,2023-02-20T08:57:57
Städning,0,2023-02-22T12:18:05
Pappersförpackningar,5,2023-02-22T08:43:44
Städning,0,2023-02-24T12:39:26
Pappersförpackningar,5,2023-02-24T15:23:07
