material,materialid,maintenance
Städning,0,2022-11-01T08:21:40
Metallförpackningar,3,2022-10-04T14:02:21
Pappersförpackningar,5,2022-10-27T06:52:30
Plastförpackningar,16,2022-10-31T11:48:06
Ofärgade glasförpackningar,18,2022-10-24T17:14:53
Färgade glasförpackningar,19,2022-10-24T17:14:53
Pappersförpackningar,5,2022-11-03T06:50:03
Städning,0,2022-11-04T13:20:40
Plastförpackningar,16,2022-11-07T12:03:35
Städning,0,2022-11-08T08:13:23
Pappersförpackningar,5,2022-11-10T06:53:33
Städning,0,2022-11-11T13:19:49
Plastförpackningar,16,2022-11-14T11:23:54
Städning,0,2022-11-15T08:27:10
Pappersförpackningar,5,2022-11-17T06:53:58
Städning,0,2022-11-18T13:30:12
Plastförpackningar,16,2022-11-21T12:00:46
Städning,0,2022-11-22T07:57:02
Pappersförpackningar,5,2022-11-24T06:51:10
Städning,0,2022-11-25T13:10:52
Städning,0,2022-11-29T08:12:23
Metallförpackningar,3,2022-11-29T09:29:49
Städning,0,2022-12-13T08:25:28
Pappersförpackningar,5,2022-12-08T06:56:49
Plastförpackningar,16,2022-12-12T12:18:54
Städning,0,2023-01-03T08:24:04
Pappersförpackningar,5,2023-01-03T14:30:14
Plastförpackningar,16,2023-01-02T14:19:25
Städning,0,2023-01-13T13:30:16
Pappersförpackningar,5,2023-01-12T06:53:55
Plastförpackningar,16,2023-01-09T14:22:45
Plastförpackningar,16,2023-01-16T14:29:02
Städning,0,2023-01-17T08:38:56
Pappersförpackningar,5,2023-01-19T06:53:39
Städning,0,2023-01-20T13:40:28
Plastförpackningar,16,2023-01-23T14:01:50
Städning,0,2023-01-24T08:03:22
Metallförpackningar,3,2023-01-24T12:53:23
Pappersförpackningar,5,2023-01-26T06:51:43
Städning,0,2023-01-27T13:37:07
Plastförpackningar,16,2023-01-30T13:41:16
Städning,0,2023-01-31T08:13:56
Pappersförpackningar,5,2023-02-02T06:52:41
Städning,0,2023-02-03T12:24:43
Plastförpackningar,16,2023-02-06T13:25:46
Städning,0,2023-02-07T08:31:40
Städning,0,2023-02-10T12:32:17
Pappersförpackningar,5,2023-02-09T06:50:20
Plastförpackningar,16,2023-02-13T14:10:44
Städning,0,2023-02-14T08:06:22
Pappersförpackningar,5,2023-02-16T06:50:45
Städning,0,2023-02-17T12:13:16
Plastförpackningar,16,2023-02-20T13:59:22
Städning,0,2023-02-21T08:07:48
Pappersförpackningar,5,2023-02-23T06:55:01
Städning,0,2023-02-24T12:36:00
