material,materialid,maintenance
Städning,0,2022-11-01T09:09:30
Metallförpackningar,3,2022-10-13T09:57:18
Pappersförpackningar,5,2022-11-01T08:27:50
Tidningar,13,2022-10-27T10:28:42
Plastförpackningar,16,2022-11-01T17:11:27
Ofärgade glasförpackningar,18,2022-10-31T15:47:12
Färgade glasförpackningar,19,2022-10-31T15:47:12
Städning,0,2022-11-02T08:42:32
Städning,0,2022-11-03T08:28:01
Städning,0,2022-11-04T09:30:40
Pappersförpackningar,5,2022-11-04T18:09:14
Plastförpackningar,16,2022-11-05T14:52:37
Städning,0,2022-11-06T09:15:37
Pappersförpackningar,5,2022-11-06T10:56:58
Städning,0,2022-11-07T09:18:32
Städning,0,2022-11-08T08:56:29
Pappersförpackningar,5,2022-11-08T08:53:13
Plastförpackningar,16,2022-11-08T15:47:34
Städning,0,2022-11-09T09:03:33
Städning,0,2022-11-10T09:16:46
Tidningar,13,2022-11-10T09:44:36
Städning,0,2022-11-11T09:54:57
Pappersförpackningar,5,2022-11-11T10:40:52
Pappersförpackningar,5,2022-11-12T09:53:49
Plastförpackningar,16,2022-11-12T18:33:06
Städning,0,2022-11-13T09:15:51
Pappersförpackningar,5,2022-11-13T08:28:08
Städning,0,2022-11-14T09:17:43
Städning,0,2022-11-15T09:07:22
Pappersförpackningar,5,2022-11-15T08:23:54
Plastförpackningar,16,2022-11-15T17:17:33
Städning,0,2022-11-16T08:55:43
Städning,0,2022-11-17T08:02:42
Städning,0,2022-11-18T09:29:10
Pappersförpackningar,5,2022-11-18T09:03:02
Pappersförpackningar,5,2022-11-19T11:23:39
Plastförpackningar,16,2022-11-19T18:22:46
Städning,0,2022-11-20T09:32:57
Pappersförpackningar,5,2022-11-20T08:02:36
Städning,0,2022-11-21T09:34:28
Städning,0,2022-11-23T09:20:10
Pappersförpackningar,5,2022-11-22T09:38:06
Plastförpackningar,16,2022-11-22T19:00:06
Städning,0,2022-11-24T08:50:42
Tidningar,13,2022-11-24T11:24:23
Städning,0,2022-11-25T11:12:49
Pappersförpackningar,5,2022-11-25T09:10:11
Pappersförpackningar,5,2022-11-26T13:43:12
Plastförpackningar,16,2022-11-26T19:16:15
Städning,0,2022-11-27T09:23:47
Pappersförpackningar,5,2022-11-27T08:41:57
Städning,0,2022-11-28T10:13:35
Städning,0,2022-11-29T10:23:57
Pappersförpackningar,5,2022-11-29T08:19:26
Plastförpackningar,16,2022-11-29T16:30:40
Städning,0,2022-12-13T09:02:34
Metallförpackningar,3,2022-12-06T18:06:25
Pappersförpackningar,5,2022-12-13T09:07:28
Tidningar,13,2022-12-08T09:18:33
Plastförpackningar,16,2022-12-13T17:25:34
Ofärgade glasförpackningar,18,2022-11-30T16:28:39
Färgade glasförpackningar,19,2022-11-30T16:28:39
Städning,0,2023-01-03T08:55:24
Pappersförpackningar,5,2023-01-02T09:26:22
Plastförpackningar,16,2022-12-31T15:37:55
Ofärgade glasförpackningar,18,2022-12-28T12:38:44
Färgade glasförpackningar,19,2022-12-28T12:38:44
Städning,0,2023-01-13T09:07:29
Pappersförpackningar,5,2023-01-14T09:11:48
Tidningar,13,2023-01-04T15:10:15
Plastförpackningar,16,2023-01-14T17:22:44
Städning,0,2023-01-15T09:04:20
Pappersförpackningar,5,2023-01-15T08:42:45
Städning,0,2023-01-16T09:23:53
Städning,0,2023-01-17T09:01:47
Pappersförpackningar,5,2023-01-17T09:06:32
Tidningar,13,2023-01-17T11:55:12
Plastförpackningar,16,2023-01-17T18:12:18
Städning,0,2023-01-18T08:49:44
Städning,0,2023-01-19T08:42:33
Städning,0,2023-01-20T09:36:54
Pappersförpackningar,5,2023-01-20T08:54:50
Pappersförpackningar,5,2023-01-21T13:40:56
Plastförpackningar,16,2023-01-21T18:59:41
Städning,0,2023-01-22T09:16:37
Pappersförpackningar,5,2023-01-22T08:31:36
Städning,0,2023-01-23T09:29:54
Städning,0,2023-01-24T09:34:14
Städning,0,2023-01-25T08:42:40
Städning,0,2023-01-26T08:08:53
Plastförpackningar,16,2023-01-24T16:10:28
Städning,0,2023-01-27T09:30:30
Pappersförpackningar,5,2023-01-27T09:17:12
Plastförpackningar,16,2023-01-28T18:04:24
Städning,0,2023-01-29T09:35:01
Pappersförpackningar,5,2023-01-29T08:27:50
Städning,0,2023-01-30T09:10:39
Städning,0,2023-01-31T08:26:10
Pappersförpackningar,5,2023-01-31T09:22:38
Plastförpackningar,16,2023-01-31T17:52:09
Städning,0,2023-02-01T08:32:23
Städning,0,2023-02-02T08:02:17
Tidningar,13,2023-02-02T10:32:47
Städning,0,2023-02-03T09:18:57
Metallförpackningar,3,2023-02-03T10:34:35
Pappersförpackningar,5,2023-02-04T09:20:12
Plastförpackningar,16,2023-02-04T16:24:19
Städning,0,2023-02-05T09:14:22
Pappersförpackningar,5,2023-02-05T10:28:34
Städning,0,2023-02-06T09:13:40
Städning,0,2023-02-07T09:01:17
Pappersförpackningar,5,2023-02-07T09:48:23
Plastförpackningar,16,2023-02-07T18:09:24
Städning,0,2023-02-08T09:45:05
Städning,0,2023-02-10T08:57:43
Pappersförpackningar,5,2023-02-10T17:08:26
Pappersförpackningar,5,2023-02-11T08:39:16
Plastförpackningar,16,2023-02-11T19:41:33
Städning,0,2023-02-12T09:31:19
Städning,0,2023-02-13T11:07:23
Städning,0,2023-02-14T08:55:37
Pappersförpackningar,5,2023-02-14T19:07:19
Plastförpackningar,16,2023-02-14T18:47:45
Städning,0,2023-02-15T08:47:37
Städning,0,2023-02-16T08:13:34
Tidningar,13,2023-02-16T07:20:30
Städning,0,2023-02-17T09:04:46
Pappersförpackningar,5,2023-02-17T08:22:56
Pappersförpackningar,5,2023-02-18T13:30:19
Plastförpackningar,16,2023-02-18T16:28:22
Städning,0,2023-02-19T09:18:20
Pappersförpackningar,5,2023-02-19T09:26:10
Städning,0,2023-02-20T09:40:48
Städning,0,2023-02-21T12:01:40
Pappersförpackningar,5,2023-02-21T09:22:30
Plastförpackningar,16,2023-02-21T16:32:28
Städning,0,2023-02-22T08:48:40
Städning,0,2023-02-23T08:09:59
Städning,0,2023-02-24T08:56:08
Pappersförpackningar,5,2023-02-24T08:43:43
Pappersförpackningar,5,2023-02-25T10:25:55
Plastförpackningar,16,2023-02-25T17:48:59
Städning,0,2023-02-26T09:28:20
Pappersförpackningar,5,2023-02-26T18:55:18
Städning,0,2023-02-27T09:09:18
Städning,0,2023-02-28T08:57:00
Pappersförpackningar,5,2023-02-28T17:42:41
Plastförpackningar,16,2023-02-28T16:56:03
Städning,0,2023-03-01T08:30:35
Städning,0,2023-03-02T08:29:35
Tidningar,13,2023-03-02T09:37:45
Städning,0,2023-03-03T09:02:09
Pappersförpackningar,5,2023-03-03T08:38:15
Ofärgade glasförpackningar,18,2023-03-03T11:47:03
Färgade glasförpackningar,19,2023-03-03T11:47:03
Pappersförpackningar,5,2023-03-04T08:51:46
Plastförpackningar,16,2023-03-04T18:53:17
Städning,0,2023-03-05T09:39:40
Pappersförpackningar,5,2023-03-05T08:39:05
Städning,0,2023-03-06T08:59:03
Städning,0,2023-03-07T09:11:09
Städning,0,2023-03-08T09:15:54
Städning,0,2023-03-09T07:57:19
Städning,0,2023-03-10T13:46:03
Pappersförpackningar,5,2023-03-10T10:24:14
Pappersförpackningar,5,2023-03-11T08:44:20
Plastförpackningar,16,2023-03-11T17:17:17
Städning,0,2023-03-12T09:32:22
Pappersförpackningar,5,2023-03-12T07:48:08
Städning,0,2023-03-13T09:12:04
Städning,0,2023-03-14T08:53:53
Pappersförpackningar,5,2023-03-14T11:34:08
Plastförpackningar,16,2023-03-14T16:11:27
Städning,0,2023-03-15T08:37:57
Tidningar,13,2023-03-15T13:44:01
Städning,0,2023-03-16T08:25:24
Städning,0,2023-03-17T09:13:41
Pappersförpackningar,5,2023-03-17T11:54:05
Pappersförpackningar,5,2023-03-18T10:03:17
Plastförpackningar,16,2023-03-18T17:13:22
Städning,0,2023-03-19T09:19:13
Pappersförpackningar,5,2023-03-19T08:37:15
Städning,0,2023-03-20T09:08:28
Städning,0,2023-03-21T08:47:22
Pappersförpackningar,5,2023-03-21T17:10:22
Plastförpackningar,16,2023-03-21T15:47:11
Städning,0,2023-03-22T08:33:53
Städning,0,2023-03-23T08:11:22
Städning,0,2023-03-24T09:02:19
Pappersförpackningar,5,2023-03-24T09:13:34
Pappersförpackningar,5,2023-03-25T09:33:37
Plastförpackningar,16,2023-03-25T15:56:55
Städning,0,2023-03-26T09:31:27
Pappersförpackningar,5,2023-03-26T08:22:10
Städning,0,2023-03-27T09:33:30
Städning,0,2023-03-28T08:53:47
Metallförpackningar,3,2023-03-28T10:42:17
Pappersförpackningar,5,2023-03-28T08:16:13
Plastförpackningar,16,2023-03-28T16:35:28
Städning,0,2023-03-29T08:37:36
Tidningar,13,2023-03-29T08:24:30
Städning,0,2023-03-30T08:23:22
Städning,0,2023-03-31T09:11:18
Pappersförpackningar,5,2023-03-31T17:57:05
Pappersförpackningar,5,2023-04-01T08:48:15
Plastförpackningar,16,2023-04-01T15:35:06
Städning,0,2023-04-02T09:50:50
Pappersförpackningar,5,2023-04-02T08:56:39
Städning,0,2023-04-03T09:37:23
Ofärgade glasförpackningar,18,2023-04-03T16:10:50
Färgade glasförpackningar,19,2023-04-03T16:10:50
Städning,0,2023-04-04T09:08:26
Pappersförpackningar,5,2023-04-04T08:23:46
Plastförpackningar,16,2023-04-04T16:43:56
Städning,0,2023-04-05T08:50:35
Städning,0,2023-04-06T08:08:34
Städning,0,2023-04-07T09:23:04
Pappersförpackningar,5,2023-04-07T11:31:05
Pappersförpackningar,5,2023-04-08T09:31:08
Plastförpackningar,16,2023-04-08T17:51:08
Städning,0,2023-04-09T09:14:28
Pappersförpackningar,5,2023-04-09T09:03:05
Städning,0,2023-04-10T08:59:21
Städning,0,2023-04-11T08:44:23
