material,materialid,maintenance
Städning,0,2022-10-31T14:58:06
Metallförpackningar,3,2022-10-04T10:15:58
Pappersförpackningar,5,2022-11-01T18:16:45
Plastförpackningar,16,2022-10-27T06:03:04
Ofärgade glasförpackningar,18,2022-11-01T09:11:19
Färgade glasförpackningar,19,2022-11-01T09:11:19
Plastförpackningar,16,2022-11-03T06:44:55
Pappersförpackningar,5,2022-11-04T12:02:03
Städning,0,2022-11-05T12:45:19
Städning,0,2022-11-07T12:40:32
Pappersförpackningar,5,2022-11-08T18:09:16
Städning,0,2022-11-10T13:00:59
Plastförpackningar,16,2022-11-10T06:01:37
Pappersförpackningar,5,2022-11-11T12:17:45
Städning,0,2022-11-12T09:44:54
Städning,0,2022-11-14T10:24:15
Pappersförpackningar,5,2022-11-15T17:55:15
Städning,0,2022-11-17T12:21:14
Plastförpackningar,16,2022-11-17T08:00:46
Pappersförpackningar,5,2022-11-18T11:19:22
Städning,0,2022-11-19T12:02:06
Städning,0,2022-11-21T15:29:57
Pappersförpackningar,5,2022-11-22T17:40:20
Städning,0,2022-11-24T13:16:43
Plastförpackningar,16,2022-11-24T06:58:35
Pappersförpackningar,5,2022-11-25T11:14:52
Städning,0,2022-11-26T09:38:02
Städning,0,2022-11-28T14:15:35
Metallförpackningar,3,2022-11-29T10:55:41
Pappersförpackningar,5,2022-11-29T17:29:28
Städning,0,2022-12-12T13:53:49
Pappersförpackningar,5,2022-12-09T11:27:18
Plastförpackningar,16,2022-12-08T06:02:00
Städning,0,2023-01-02T14:04:04
Pappersförpackningar,5,2022-12-30T11:39:12
Plastförpackningar,16,2022-12-29T08:17:53
Städning,0,2023-01-14T10:31:28
Pappersförpackningar,5,2023-01-13T11:08:25
Plastförpackningar,16,2023-01-12T06:14:50
Ofärgade glasförpackningar,18,2023-01-04T11:09:27
Färgade glasförpackningar,19,2023-01-04T11:09:27
Städning,0,2023-01-16T13:40:23
Pappersförpackningar,5,2023-01-17T16:48:49
Städning,0,2023-01-19T07:10:26
Plastförpackningar,16,2023-01-19T06:01:27
Pappersförpackningar,5,2023-01-20T12:25:01
Städning,0,2023-01-21T09:51:21
Städning,0,2023-01-23T13:18:45
Städning,0,2023-01-26T09:38:19
Metallförpackningar,3,2023-01-24T11:24:25
Pappersförpackningar,5,2023-01-24T13:23:28
Plastförpackningar,16,2023-01-26T08:10:22
Pappersförpackningar,5,2023-01-27T12:10:39
Städning,0,2023-01-28T09:15:42
Städning,0,2023-01-30T13:29:41
Pappersförpackningar,5,2023-01-31T16:44:50
Städning,0,2023-02-02T12:22:26
Plastförpackningar,16,2023-02-02T06:02:01
Pappersförpackningar,5,2023-02-03T12:54:48
Städning,0,2023-02-04T10:08:54
Städning,0,2023-02-06T12:58:36
Pappersförpackningar,5,2023-02-07T11:10:12
Ofärgade glasförpackningar,18,2023-02-07T10:47:10
Färgade glasförpackningar,19,2023-02-07T10:47:10
Städning,0,2023-02-09T12:52:47
Pappersförpackningar,5,2023-02-10T12:47:26
Plastförpackningar,16,2023-02-09T06:12:24
Städning,0,2023-02-11T11:03:45
Städning,0,2023-02-13T13:45:10
Pappersförpackningar,5,2023-02-14T11:55:06
Städning,0,2023-02-16T07:12:18
Plastförpackningar,16,2023-02-16T06:25:53
Pappersförpackningar,5,2023-02-17T11:41:07
Städning,0,2023-02-18T10:49:55
Städning,0,2023-02-20T07:10:53
Pappersförpackningar,5,2023-02-21T08:38:12
Städning,0,2023-02-23T13:03:35
Plastförpackningar,16,2023-02-23T06:30:31
Pappersförpackningar,5,2023-02-24T11:38:37
Städning,0,2023-02-25T09:27:19
Städning,0,2023-02-27T13:06:53
Pappersförpackningar,5,2023-02-28T10:30:39
Städning,0,2023-03-02T12:15:24
Plastförpackningar,16,2023-03-02T06:16:35
Pappersförpackningar,5,2023-03-03T12:17:22
Städning,0,2023-03-04T09:55:25
Städning,0,2023-03-06T13:01:33
Pappersförpackningar,5,2023-03-07T09:19:14
Städning,0,2023-03-09T12:23:38
Plastförpackningar,16,2023-03-09T06:49:46
Pappersförpackningar,5,2023-03-10T12:12:10
Städning,0,2023-03-11T10:01:25
Städning,0,2023-03-13T08:28:22
Pappersförpackningar,5,2023-03-14T08:48:16
Städning,0,2023-03-16T07:04:05
Plastförpackningar,16,2023-03-16T06:09:26
Pappersförpackningar,5,2023-03-17T11:53:03
Städning,0,2023-03-18T10:29:59
Städning,0,2023-03-20T13:35:40
Metallförpackningar,3,2023-03-21T09:53:59
Pappersförpackningar,5,2023-03-21T08:30:43
Städning,0,2023-03-23T07:44:44
Plastförpackningar,16,2023-03-23T08:11:42
Pappersförpackningar,5,2023-03-24T11:56:20
Städning,0,2023-03-25T09:55:28
Städning,0,2023-03-27T13:36:10
Pappersförpackningar,5,2023-03-28T08:22:31
Städning,0,2023-03-30T12:07:04
Plastförpackningar,16,2023-03-30T06:51:53
Ofärgade glasförpackningar,18,2023-03-30T08:59:10
Färgade glasförpackningar,19,2023-03-30T08:59:10
Pappersförpackningar,5,2023-03-31T11:19:01
Städning,0,2023-04-01T06:17:48
Städning,0,2023-04-03T12:56:43
Pappersförpackningar,5,2023-04-04T08:31:48
Städning,0,2023-04-06T12:49:46
Plastförpackningar,16,2023-04-06T06:40:42
Pappersförpackningar,5,2023-04-07T11:09:51
Städning,0,2023-04-08T11:05:21
Städning,0,2023-04-10T13:28:18
Pappersförpackningar,5,2023-04-11T08:46:54
