material,materialid,maintenance
Städning,0,2022-10-31T14:01:14
Metallförpackningar,3,2022-10-10T12:37:32
Pappersförpackningar,5,2022-11-01T16:34:15
Tidningar,13,2022-10-24T14:55:08
Plastförpackningar,16,2022-10-31T14:46:09
Ofärgade glasförpackningar,18,2022-10-24T10:21:21
Färgade glasförpackningar,19,2022-10-24T10:21:21
Städning,0,2022-11-02T09:08:16
Städning,0,2022-11-04T09:32:37
Pappersförpackningar,5,2022-11-04T14:27:39
Städning,0,2022-11-07T14:22:51
Plastförpackningar,16,2022-11-07T14:33:39
Pappersförpackningar,5,2022-11-08T15:22:10
Städning,0,2022-11-09T10:11:24
Tidningar,13,2022-11-09T15:24:49
Städning,0,2022-11-11T11:11:51
Pappersförpackningar,5,2022-11-11T14:10:49
Städning,0,2022-11-14T13:31:52
Plastförpackningar,16,2022-11-14T16:36:31
Pappersförpackningar,5,2022-11-15T14:42:32
Städning,0,2022-11-16T09:46:16
Städning,0,2022-11-18T11:29:53
Pappersförpackningar,5,2022-11-18T16:12:23
Städning,0,2022-11-21T13:09:48
Metallförpackningar,3,2022-11-21T13:31:19
Plastförpackningar,16,2022-11-21T13:38:54
Städning,0,2022-11-23T07:30:29
Pappersförpackningar,5,2022-11-22T13:25:38
Städning,0,2022-11-25T09:31:43
Pappersförpackningar,5,2022-11-25T14:15:02
Städning,0,2022-11-28T12:53:32
Plastförpackningar,16,2022-11-28T10:30:38
Pappersförpackningar,5,2022-11-29T15:24:36
Städning,0,2022-12-12T14:35:10
Pappersförpackningar,5,2022-12-13T15:34:34
Plastförpackningar,16,2022-12-12T15:05:42
Ofärgade glasförpackningar,18,2022-12-12T14:04:06
Färgade glasförpackningar,19,2022-12-12T14:04:06
Städning,0,2023-01-02T13:24:15
Metallförpackningar,3,2023-01-02T12:11:24
Pappersförpackningar,5,2023-01-03T14:30:03
Tidningar,13,2023-01-03T13:28:33
Plastförpackningar,16,2023-01-02T10:51:25
Städning,0,2023-01-13T11:20:29
Pappersförpackningar,5,2023-01-13T22:14:08
Plastförpackningar,16,2023-01-10T10:14:57
Städning,0,2023-01-16T16:09:33
Plastförpackningar,16,2023-01-16T13:07:12
Pappersförpackningar,5,2023-01-17T13:38:02
Städning,0,2023-01-18T08:30:12
Städning,0,2023-01-20T10:17:34
Pappersförpackningar,5,2023-01-20T08:21:28
Städning,0,2023-01-23T13:21:41
Plastförpackningar,16,2023-01-23T14:15:17
Pappersförpackningar,5,2023-01-24T14:45:50
Städning,0,2023-01-25T07:30:19
Tidningar,13,2023-01-25T15:01:27
Ofärgade glasförpackningar,18,2023-01-25T12:22:10
Färgade glasförpackningar,19,2023-01-25T12:22:10
Städning,0,2023-01-27T07:46:04
Pappersförpackningar,5,2023-01-27T08:09:48
Städning,0,2023-01-30T14:06:46
Plastförpackningar,16,2023-01-30T14:26:02
Pappersförpackningar,5,2023-01-31T12:48:45
Städning,0,2023-02-01T13:54:05
Städning,0,2023-02-03T08:37:21
Pappersförpackningar,5,2023-02-03T12:37:21
Städning,0,2023-02-06T14:33:06
Plastförpackningar,16,2023-02-06T15:17:01
Pappersförpackningar,5,2023-02-07T14:28:35
Pappersförpackningar,5,2023-02-10T11:13:12
Städning,0,2023-02-13T10:36:59
Metallförpackningar,3,2023-02-13T12:02:01
Plastförpackningar,16,2023-02-13T14:53:50
Pappersförpackningar,5,2023-02-14T14:23:51
Städning,0,2023-02-15T11:25:50
Tidningar,13,2023-02-16T09:14:22
Städning,0,2023-02-17T13:10:59
Pappersförpackningar,5,2023-02-17T07:37:05
Plastförpackningar,16,2023-02-20T13:39:30
Pappersförpackningar,5,2023-02-21T13:14:46
Städning,0,2023-02-22T13:04:14
Städning,0,2023-02-24T12:45:59
Pappersförpackningar,5,2023-02-24T08:04:39
Städning,0,2023-02-27T09:44:33
Plastförpackningar,16,2023-02-27T14:16:17
Pappersförpackningar,5,2023-02-28T14:15:42
Städning,0,2023-03-01T08:41:19
Städning,0,2023-03-03T14:03:46
Pappersförpackningar,5,2023-03-03T13:00:58
Städning,0,2023-03-06T10:22:08
Plastförpackningar,16,2023-03-06T10:35:30
Städning,0,2023-03-08T13:38:41
Pappersförpackningar,5,2023-03-07T13:02:13
Städning,0,2023-03-10T13:20:44
Pappersförpackningar,5,2023-03-10T11:00:42
Städning,0,2023-03-13T09:14:21
Plastförpackningar,16,2023-03-13T12:51:50
Pappersförpackningar,5,2023-03-14T12:31:05
Städning,0,2023-03-15T09:17:08
Städning,0,2023-03-17T09:40:44
Pappersförpackningar,5,2023-03-17T08:33:46
Städning,0,2023-03-20T11:37:12
Plastförpackningar,16,2023-03-20T11:16:05
Pappersförpackningar,5,2023-03-21T15:58:16
Städning,0,2023-03-22T07:54:27
Städning,0,2023-03-24T10:58:25
Pappersförpackningar,5,2023-03-24T08:22:29
Städning,0,2023-03-27T12:03:38
Metallförpackningar,3,2023-03-27T13:06:18
Plastförpackningar,16,2023-03-27T11:40:59
Pappersförpackningar,5,2023-03-28T12:57:11
Städning,0,2023-03-29T08:18:45
Städning,0,2023-03-31T09:53:41
Pappersförpackningar,5,2023-03-31T14:43:39
Tidningar,13,2023-03-31T13:18:22
Städning,0,2023-04-03T07:46:02
Plastförpackningar,16,2023-04-03T14:00:53
Ofärgade glasförpackningar,18,2023-04-03T15:44:09
Färgade glasförpackningar,19,2023-04-03T15:44:09
Pappersförpackningar,5,2023-04-04T13:39:53
Städning,0,2023-04-05T07:58:57
Städning,0,2023-04-07T09:14:22
Pappersförpackningar,5,2023-04-07T17:55:14
Städning,0,2023-04-10T08:11:46
Plastförpackningar,16,2023-04-10T13:17:03
Pappersförpackningar,5,2023-04-11T11:47:22
Städning,0,2023-04-12T07:29:35
Tidningar,13,2023-04-12T10:22:06
Städning,0,2023-04-14T10:41:50
Pappersförpackningar,5,2023-04-14T07:38:57
Städning,0,2023-04-17T08:32:25
Plastförpackningar,16,2023-04-17T16:31:29
Pappersförpackningar,5,2023-04-18T16:21:32
Städning,0,2023-04-19T08:18:01
Städning,0,2023-04-21T10:41:45
Pappersförpackningar,5,2023-04-21T14:35:06
Städning,0,2023-04-24T07:53:59
Plastförpackningar,16,2023-04-24T19:57:32
Pappersförpackningar,5,2023-04-25T11:49:49
Städning,0,2023-04-26T07:49:28
Städning,0,2023-04-28T10:23:45
Pappersförpackningar,5,2023-04-28T15:27:57
Städning,0,2023-05-01T12:08:58
Plastförpackningar,16,2023-05-01T11:18:13
Pappersförpackningar,5,2023-05-02T09:41:46
Städning,0,2023-05-03T08:20:10
Städning,0,2023-05-05T10:43:08
Pappersförpackningar,5,2023-05-05T11:02:35
Städning,0,2023-05-08T08:59:42
Metallförpackningar,3,2023-05-08T12:00:58
Plastförpackningar,16,2023-05-08T12:39:45
Pappersförpackningar,5,2023-05-09T13:26:44
Städning,0,2023-05-10T16:47:29
Städning,0,2023-05-12T13:02:41
Pappersförpackningar,5,2023-05-12T16:36:24
Städning,0,2023-05-17T08:41:43
Pappersförpackningar,5,2023-05-16T13:55:00
Plastförpackningar,16,2023-05-15T11:27:01
Städning,0,2023-05-19T10:12:25
